Halobacterium sp. NRC-1, complete genome
Product Name	Start	End	Strand	Length	Gi	GeneID	Locus	Locus_tag	COG(s)
50S ribosomal protein L7Ae 	876667	877029	+	120	15790233	1447838	rpl7ae	VNG1157G	COG1358J
30S ribosomal protein S28e 	877036	877260	+	74	161349981	1447839	rps28e	VNG1158G	COG2053J
50S ribosomal protein L24E 	877260	877448	+	62	15790235	1447840	rpl24e	VNG1159G	COG2075J
hypothetical protein VNG1160G 	877445	877930	+	161	15790236	1447841	ndk	VNG1160G	COG0105F
hypothetical protein VNG1162H 	877978	878925	-	315	15790237	1447842	-	VNG1162H	COG0620E
hypothetical protein VNG1163G 	878982	879557	-	191	15790238	1447843	hemK	VNG1163G	COG2890J
hypothetical protein VNG1164C 	879550	880452	-	300	15790239	1447844	-	VNG1164C	COG0668M
dimethyladenosine transferase 	880623	881471	-	282	15790240	1447845	ksgA	VNG1165G	COG0030J
hypothetical protein VNG1168C 	881509	882102	-	197	15790241	1447846	-	VNG1168C	COG1491J
hypothetical protein VNG1169C 	882144	882503	-	119	15790242	1447847	-	VNG1169C	COG1460S
50S ribosomal protein L21e 	882503	882802	-	99	15790243	1447848	rpl21e	VNG1170G	COG2139J
MetB 	883195	884376	+	393	15790244	1447849	metB	VNG1172G	COG0626E
elongation factor 1-beta 	884446	884745	-	99	15790245	1447850	ef1B	VNG1173G	COG2092J
Zn-ribbon RNA-binding protein with a function in translation 	884715	884888	-	57	16554487	1449039	-	VNG1173a	COG2888J
PhoR 	884967	886922	-	651	15790246	1447851	phoR	VNG1175G	COG0642T
Nop56/58 	886911	887744	+	277	15790247	1447852	nop56/58	VNG1174G	COG1498J
fibrillarin 	887741	888373	+	210	15790248	1447853	fib	VNG1176G	COG1889J
hypothetical protein VNG1178H 	888387	888617	-	76	15790249	1447854	-	VNG1178H	-
hypothetical protein VNG1179C 	888617	889327	-	236	15790250	1447855	-	VNG1179C	COG1522K
methionine sulfoxide reductase A 	889326	889859	+	177	15790251	1447856	msrA	VNG1180G	COG0225O
FlaA1b 	889903	890526	+	207	15790252	1447857	flaA1b	VNG1181G	COG1681N
hypothetical protein VNG1182H 	890603	891091	+	162	15790253	1447858	-	VNG1182H	COG3467R
Fe-S oxidoreductase involved in heme biosynthesis 	891125	892330	-	401	16554488	1449040	nirJ	VNG1184Gm	COG0535R
hypothetical protein VNG1183H 	892327	892578	-	83	15790255	1447859	-	VNG1183H	COG3460Q
PqqE 	892721	893791	+	356	15790256	1447860	pqqE	VNG1185G	COG0535R
Pan1 	893923	895062	+	379	15790257	1447861	pan1	VNG1187G	COG2132Q
HcpD 	895069	895686	+	205	15790258	1447862	hcpD	VNG1188G	COG3794C
hypothetical protein VNG1189H 	895707	896105	-	132	15790259	1447863	-	VNG1189H	-
Sod1 	896255	896857	-	200	15790260	1447864	sod1	VNG1190G	COG0605P
Acyl-CoA dehydrogenase 	896996	898141	+	381	16554489	1449041	ACD3	VNG1191Gm	COG1960I
hypothetical protein VNG1193C 	898154	899398	-	414	15790262	1447865	-	VNG1193C	COG0642T
hypothetical protein VNG1194H 	899522	899731	-	69	15790263	1447866	-	VNG1194H	-
hypothetical protein VNG1196H 	899768	899878	-	36	15790264	1447867	-	VNG1196H	-
hypothetical protein VNG1197G 	900160	900624	-	154	15790265	1447868	bcp	VNG1197G	COG1225O
hypothetical protein VNG1198C 	900703	902079	-	458	15790266	1447869	-	VNG1198C	COG0644C
hypothetical protein VNG1200H 	902216	902422	+	68	15790267	1447870	-	VNG1200H	-
FucA 	902438	903073	-	211	15790268	1447871	fucA	VNG1201G	COG0235G
hypothetical protein VNG1202C 	903076	903774	-	232	15790269	1447872	-	VNG1202C	COG1011R
hypothetical protein VNG1204G 	903818	905068	-	416	15790270	1447873	gdhA2	VNG1204G	COG0334E
N-ethylammeline chlorohydrolase 	905173	906468	-	431	15790271	1447874	-	VNG1205C	COG0402FR
hypothetical protein VNG1207C 	907027	907659	-	210	15790272	1447875	-	VNG1207C	COG3413R
urocanate hydratase 	907743	909509	+	588	15790273	1447876	hutU	VNG1208G	COG2987E
HutG 	909509	910429	+	306	15790274	1447877	hutG	VNG1209G	COG0010E
imidazolonepropionase 	910426	911679	+	417	15790275	1447878	hutI	VNG1211G	COG1228Q
histidine ammonia-lyase 	911697	913253	+	518	16554490	1449042	hutH	VNG1212Gm	COG2986E
hypothetical protein VNG1213C 	913341	914321	+	326	15790277	1447879	-	VNG1213C	COG3359L
hypothetical protein VNG1214H 	914979	916109	+	376	15790278	1447880	-	VNG1214H	-
Pai1 	916393	916875	-	160	15790279	1447882	pai1	VNG1215G	COG0456R
phosphoglycerate kinase 	916872	918068	-	398	15790280	1447883	pgk	VNG1216G	COG0126G
hypothetical protein VNG1218C 	918171	918887	-	238	15790281	1447884	-	VNG1218C	COG0517R
uridine kinase 	918850	919596	+	248	15790282	1447885	urk	VNG1219G	COG0572F
hypothetical protein VNG1220H 	919654	919977	-	107	15790283	1447886	-	VNG1220H	-
Orc8 	920669	921862	+	397	15790284	1447888	orc8	VNG1224G	COG1474LO
hypothetical protein VNG1227H 	922015	922776	-	253	15790285	1447889	-	VNG1227H	-
hypothetical protein VNG1226H 	922865	923065	+	66	15790286	1447890	-	VNG1226H	-
hypothetical protein VNG1228C 	923079	923711	-	210	15790287	1447891	-	VNG1228C	COG1573L
hypothetical protein VNG1229H 	923886	924092	+	68	15790288	1447892	-	VNG1229H	-
chorismate synthase 	924127	925311	-	394	15790289	1447893	aroC	VNG1230G	COG0082E
3-phosphoshikimate 1-carboxyvinyltransferase 	925560	926879	-	439	15790290	1447894	psc	VNG1232G	COG0128E
PepQ2 	926974	928149	+	391	15790291	1447895	pepQ2	VNG1233G	COG0006E
hypothetical protein VNG1234C 	928165	929535	-	456	15790292	1447896	-	VNG1234C	COG0642T
hypothetical protein VNG1235C 	929643	930380	+	245	15790293	1447897	-	VNG1235C	COG0287E
hypothetical protein VNG1236C 	930370	931761	+	463	15790294	1447898	-	VNG1236C	-
hypothetical protein VNG1237C 	931821	932303	+	160	15790295	1447899	-	VNG1237C	COG1522K
hypothetical protein VNG1239H 	932347	932466	-	39	15790296	1447900	-	VNG1239H	-
hypothetical protein VNG1238C 	932654	932875	+	73	15790297	1447901	-	VNG1238C	-
YhdG 	932862	935048	+	728	15790298	1447902	yhdG	VNG1240G	COG0531E
hypothetical protein VNG1241G 	935124	935900	+	258	15790299	1447903	surE	VNG1241G	COG0496R
hypothetical protein VNG1244C 	936143	936409	-	88	15790300	1447904	-	VNG1244C	COG1605E
shikimate kinase 	936406	937260	-	284	15790301	1447905	-	VNG1245C	COG1685EH
hypothetical protein VNG1246H 	937348	937776	+	142	15790302	1447906	-	VNG1246H	-
ABC-type transport protein 	937934	938593	-	219	15790303	1447907	ybhF	VNG1247G	COG1131V
hypothetical protein VNG1249C 	938596	939666	-	356	15790304	1447908	-	VNG1249C	-
hypothetical protein VNG1250H 	939667	940758	-	363	15790305	1447909	-	VNG1250H	-
ATP-dependent helicase 	940842	943682	-	946	15790306	1447910	helA	VNG1251G	COG1201R
YhcR 	943743	944486	-	247	15790307	1447911	yhcR	VNG1252G	COG1407R
hypothetical protein VNG1253C 	944486	945883	-	465	15790308	1447912	-	VNG1253C	COG3390S
replication factor A 	945880	947262	-	460	15790309	1447913	-	VNG1255C	COG1599L
hypothetical protein VNG1256G 	947257	947919	+	220	15790310	1447914	ribG	VNG1256G	COG1985H
hypothetical protein VNG1257H 	947927	948211	-	94	15790311	1447915	-	VNG1257H	-
hypothetical protein VNG1259G 	948260	949348	-	362	15790312	1447916	trxB2	VNG1259G	COG0492O
hypothetical protein VNG1260C 	949462	949746	+	94	15790313	1447917	-	VNG1260C	COG1849S
hypothetical protein VNG1261H 	949891	950073	+	60	15790314	1447918	-	VNG1261H	-
translation initiation factor IF-2 subunit beta 	950078	950476	-	132	15790315	1447919	eif2b	VNG1262G	COG1601J
hypothetical protein VNG1263C 	950618	950860	+	80	15790316	1447920	-	VNG1263C	COG1745R
hypothetical protein VNG1264C 	950936	951319	-	127	15790317	1447921	-	VNG1264C	COG1885S
8-oxoguanine DNA glycosylase 	951404	952309	+	301	15790318	1447922	ogg	VNG1266G	COG0122L
hypothetical protein VNG1268H 	952374	953267	+	297	15790319	1447923	-	VNG1268H	-
hypothetical protein VNG1270H 	953515	954315	-	266	15790320	1447924	-	VNG1270H	-
hypothetical protein VNG1271H 	954746	955255	+	169	15790321	1447925	-	VNG1271H	-
hypothetical protein VNG1272C 	955464	956882	+	472	15790322	1447926	-	VNG1272C	COG0062S
putative molybdenum cofactor biosynthesis protein C 	956875	957366	+	163	15790323	1447927	moaC	VNG1273G	COG0315H
GTPase 	957376	958683	-	435	16554491	1449043	hflX2	VNG1275Gm	COG2262R
putative RNA-associated protein 	958732	959457	-	241	15790325	1447928	-	VNG1276C	COG1500J
hypothetical protein VNG1279H 	959518	960012	-	164	15790326	1447929	-	VNG1279H	COG1369J
hypothetical protein VNG1280C 	960009	960611	-	200	15790327	1447930	-	VNG1280C	COG2226H
hypothetical protein VNG1281H 	960595	960975	-	126	15790328	1447931	-	VNG1281H	COG1603J
TRK potassium uptake system protein 	961406	962074	-	222	15790329	1447932	trkA5	VNG1282G	COG0569P
hypothetical protein VNG1283H 	962119	962319	-	66	15790330	1447933	-	VNG1283H	-
TRK potassium uptake system protein 	962319	963932	-	537	15790331	1447934	trkH1	VNG1284G	COG0168P
Trh2 	964009	964770	-	253	15790332	1447935	trh2	VNG1285G	COG1522K
hypothetical protein VNG1287C 	964835	965257	-	140	15790333	1447936	-	VNG1287C	COG1325J
hypothetical protein VNG1289H 	965294	965509	-	71	15790334	1447937	-	VNG1289H	-
hypothetical protein VNG1291H 	965562	966389	-	275	15790335	1447938	-	VNG1291H	-
hypothetical protein VNG1292H 	966430	966543	-	37	15790336	1447939	-	VNG1292H	-
SlyD 	966623	967534	-	303	15790337	1447940	slyD	VNG1294G	COG1047O
hypothetical protein VNG1295H 	967595	967786	-	63	15790338	1447941	-	VNG1295H	-
hypothetical protein VNG1296C 	967899	968510	+	203	15790339	1447942	-	VNG1296C	COG1437F
S-adenosylmethionine synthetase 	968577	969803	+	408	15790340	1447943	-	VNG1297C	COG1812E
hypothetical protein VNG1299C 	969880	971058	+	392	15790341	1447944	-	VNG1299C	COG0301H
hypothetical protein VNG1300H 	971265	971507	+	80	15790342	1447945	-	VNG1300H	-
hypothetical protein VNG1301G 	971521	972504	-	327	15790343	1447946	cysK	VNG1301G	COG0031E
hypothetical protein VNG1302H 	972633	972983	+	116	15790344	1447947	-	VNG1302H	-
hypothetical protein VNG1303C 	972973	975201	-	742	15790345	1447948	-	VNG1303C	COG1331O
hypothetical protein VNG1305G 	975273	976565	+	430	15790346	1447949	purD	VNG1305G	COG0151F
hypothetical protein VNG1306G 	976559	978406	-	615	15790347	1447950	sdhA	VNG1306G	COG1053C
hypothetical protein VNG1308G 	978413	979291	-	292	15790348	1447951	sdhB	VNG1308G	COG0479C
SdhD 	979298	979660	-	120	15790349	1447952	sdhD	VNG1309G	COG2142C
hypothetical protein VNG1310G 	979662	980084	-	140	15790350	1447953	sdhC	VNG1310G	COG2009C
3-methyladenine DNA glycosylase 	980201	980776	-	191	15790351	1447954	alkA	VNG1311G	COG0122L
3-hydroxyacyl-CoA dehydrogenase 	980918	982897	+	659	15790352	1447955	hbd2	VNG1313G	COG1250I
hypothetical protein VNG1314H 	983197	983418	+	73	15790353	1447957	-	VNG1314H	-
hypothetical protein VNG1315H 	983324	983818	+	164	15790354	1447958	-	VNG1315H	-
hypothetical protein VNG1317H 	983914	984111	-	65	15790355	1447959	-	VNG1317H	-
hypothetical protein VNG1318H 	984228	984569	+	113	15790356	1447960	-	VNG1318H	-
hypothetical protein VNG1319H 	984584	986269	-	561	15790357	1447961	-	VNG1319H	-
calcium-binding protein 	986348	987505	+	385	15790358	1447962	cbp	VNG1320G	-
hypothetical protein VNG1323C 	987502	989949	+	815	15790359	1447963	-	VNG1323C	-
hypothetical protein VNG1324C 	989961	990395	-	144	15790360	1447964	-	VNG1324C	COG2246S
hypothetical protein VNG1325C 	990944	991744	-	266	15790361	1447966	-	VNG1325C	COG1351F
hypothetical protein VNG1326H 	991743	992111	+	122	15790362	1447967	-	VNG1326H	-
FprA 	992165	992743	+	192	15790363	1447968	fprA	VNG1327G	COG0491R
hypothetical protein VNG1329H 	992751	993020	-	89	15790364	1447969	-	VNG1329H	-
hypothetical protein VNG1330H 	993093	993569	+	158	15790365	1447970	-	VNG1330H	-
Sod2 	993598	994200	-	200	15790366	1447971	sod2	VNG1332G	COG0605P
Phr2 	994265	995734	-	489	15790367	1447972	phr2	VNG1335G	COG0415L
hypothetical protein VNG1336C 	995751	996206	-	151	15790368	1447973	-	VNG1336C	COG2050Q
hypothetical protein VNG1337C 	996308	997666	+	452	15790369	1447974	-	VNG1337C	COG3119P
hypothetical protein VNG1339C 	997742	999307	+	521	15790370	1447975	-	VNG1339C	COG0318IQ
hypothetical protein VNG1340C 	999323	1000228	-	301	15790371	1447976	-	VNG1340C	COG1237R
3-oxoacyl-	1000227	1000994	+	255	15790372	1447977	fabG	VNG1341G	COG1028IQR
flavin-dependent oxidoreductase 	1000991	1002007	+	338	16554492	1449044	-	VNG1342Gm	COG2141C
hypothetical protein VNG1343C 	1002024	1002701	-	225	15790374	1447978	-	VNG1343C	COG1634R
DchpS 	1002833	1003978	-	381	15790375	1447979	dchpS	VNG1344G	COG0294H
hypothetical protein VNG1345H 	1004042	1004611	+	189	15790376	1447980	-	VNG1345H	-
hypothetical protein VNG1347C 	1004568	1005329	+	253	15790377	1447981	-	VNG1347C	COG0565J
acyl dehydratase 	1005333	1005794	-	153	16554493	1449045	-	VNG1349Cm	COG2030I
hypothetical protein VNG1350C 	1005848	1006789	-	313	15790379	1447982	-	VNG1350C	-
Trh6 	1006932	1007417	+	161	15790380	1447983	trh6	VNG1351G	COG1522K
glutamyl-tRNA(Gln) amidotransferase subunit E 	1007425	1009293	-	622	15790381	1447984	gatB1	VNG1352G	COG2511J
hypothetical protein VNG1353C 	1009330	1010874	-	514	15790382	1447985	-	VNG1353C	COG3428S
hypothetical protein VNG1355H 	1010871	1011350	-	159	15790383	1447986	-	VNG1355H	COG3402S
fumarate hydratase 	1011395	1012807	-	470	15790384	1447987	fumC	VNG1356G	COG0114C
hypothetical protein VNG1357C 	1013011	1013259	-	82	15790385	1447988	-	VNG1357C	COG0271T
flap endonuclease-1 	1013308	1014291	-	327	15790386	1447989	rad2	VNG1359G	COG0258L
hypothetical protein VNG1360H 	1014340	1014834	-	164	15790387	1447990	-	VNG1360H	-
hypothetical protein VNG1362H 	1015011	1015412	+	133	15790388	1447991	-	VNG1362H	-
Ocd2 	1015496	1016482	+	328	15790389	1447992	ocd2	VNG1364G	COG2423E
hypothetical protein VNG1365C 	1016483	1017439	-	318	15790390	1447993	-	VNG1365C	COG3389S
H/ACA RNA-protein complex component Gar1 	1017495	1017722	-	75	15790391	1447994	-	VNG1366H	COG3277J
Srp19 	1017722	1018000	-	92	15790392	1447995	srp19	VNG1367G	COG1400U
corrinoid ABC transporter substrate-binding protein 	1018040	1019149	-	369	15790393	1447996	btuF	VNG1369G	COG0614P
corrinoid ABC transporter permease 	1019209	1020318	+	369	15790394	1447997	btuC	VNG1370G	COG0609P
corrinoid ABC transporter ATPase 	1020315	1021511	+	398	16554494	1449046	btuD	VNG1371Gm	COG1120PH
hypothetical protein VNG1372C 	1021561	1022991	+	476	15790396	1447998	-	VNG1372C	-
KinA1 	1023071	1024891	+	606	15790397	1447999	kinA1	VNG1374G	COG0642T
hypothetical protein VNG1375C 	1025206	1026540	+	444	15790398	1448000	-	VNG1375C	COG0642T
hypothetical protein VNG1376H 	1026595	1026759	-	54	15790399	1448001	-	VNG1376H	-
AsnC 	1026961	1027410	-	149	15790400	1448002	asnC	VNG1377G	COG1522K
hypothetical protein VNG1379G 	1027447	1028247	-	266	15790401	1448003	suhB	VNG1379G	COG0483G
hypothetical protein VNG1380H 	1028559	1029209	+	216	15790402	1448005	-	VNG1380H	-
hypothetical protein VNG1381H 	1029784	1030257	+	157	15790403	1448006	-	VNG1381H	-
hypothetical protein VNG1382H 	1030300	1030734	+	144	15790404	1448007	-	VNG1382H	-
Rad3a 	1030786	1033188	+	800	15790405	1448008	rad3a	VNG1383G	COG1199KL
hypothetical protein VNG1384H 	1033228	1033419	+	63	15790406	1448009	-	VNG1384H	-
YvoF 	1033416	1033934	+	172	15790407	1448010	yvoF	VNG1385G	COG0110R
hypothetical protein VNG1387H 	1033931	1034509	-	192	15790408	1448011	-	VNG1387H	-
hypothetical protein VNG1388H 	1034506	1035285	-	259	15790409	1448012	-	VNG1388H	COG3264M
hypothetical protein VNG1389C 	1035287	1036099	-	270	15790410	1448013	-	VNG1389C	COG1624S
hypothetical protein VNG1390H 	1036408	1036719	+	103	15790411	1448015	-	VNG1390H	COG1405K
phosphopantetheine adenylyltransferase 	1036721	1037209	-	162	16554495	1449047	-	VNG1390a	COG1019R
hypothetical protein VNG1394H 	1037249	1037746	-	165	15790412	1448016	-	VNG1394H	COG3355K
Htr9 	1037808	1039253	-	481	15790413	1448017	htr9	VNG1395G	COG0840NT
carboxylate-amine ligase 	1039323	1040405	-	360	15790414	1448018	-	VNG1397C	COG2170S
hypothetical protein VNG1398C 	1040466	1040909	-	147	15790415	1448019	-	VNG1398C	COG2153R
hypothetical protein VNG1402H 	1040976	1041458	-	160	15790416	1448020	-	VNG1402H	COG1547S
hypothetical protein VNG1401C 	1041502	1041948	-	148	15790417	1448021	-	VNG1401C	COG1860S
hypothetical protein VNG1403H 	1041974	1042369	-	131	15790418	1448022	-	VNG1403H	-
hypothetical protein VNG1405C 	1042533	1042907	-	124	15790419	1448023	-	VNG1405C	COG1733K
Trh1 	1043067	1043468	+	133	15790420	1448024	trh1	VNG1404G	COG0229O
helicase 	1043980	1045554	+	524	16554496	1449048	-	VNG1406Gm	COG1061KL
hypothetical protein VNG1407C 	1045627	1046025	+	132	15790422	1448025	-	VNG1407C	COG0824R
UDP-sugar hydrolase 	1046073	1048121	-	682	15790423	1448026	ush	VNG1408G	COG0737F
hypothetical protein VNG1409C 	1048271	1049413	+	380	15790424	1448027	-	VNG1409C	COG1967S
hypothetical protein VNG1410H 	1049424	1050434	-	336	15790425	1448028	-	VNG1410H	COG1944S
hypothetical protein VNG1412H 	1051252	1052118	-	288	15790426	1448029	-	VNG1412H	-
hypothetical protein VNG1413H 	1052148	1053737	-	529	15790427	1448030	-	VNG1413H	-
hypothetical protein VNG1414G 	1053950	1055224	+	424	15790428	1448031	glyA	VNG1414G	COG0112E
hypothetical protein VNG1416G 	1055397	1056290	+	297	15790429	1448032	folD	VNG1416G	COG0190H
hypothetical protein VNG1417H 	1056325	1057122	-	265	15790430	1448033	-	VNG1417H	-
hypothetical protein VNG1418C 	1057123	1058421	+	432	15790431	1448034	-	VNG1418C	COG0412Q
hypothetical protein VNG1420H 	1058589	1059044	+	151	15790432	1448035	-	VNG1420H	-
hypothetical protein VNG1422H 	1059075	1059986	+	303	15790433	1448036	-	VNG1422H	COG3342S
hypothetical protein VNG1423H 	1060045	1060191	+	48	15790434	1448037	-	VNG1423H	-
hypothetical protein VNG1425H 	1060402	1060698	-	98	15790435	1448038	-	VNG1425H	-
hypothetical protein VNG1426H 	1060839	1061117	+	92	15790436	1448039	-	VNG1426H	COG1695K
hypothetical protein VNG1427H 	1061121	1061363	+	80	15790437	1448040	-	VNG1427H	-
HtlA 	1061360	1062508	-	382	15790438	1448041	htlA	VNG1428G	COG0628R
LPPG:FO 2-phospho-L-lactate transferase 	1062600	1063610	+	336	15790439	1448042	-	VNG1429C	COG0391S
hypothetical protein VNG1431C 	1063672	1064343	+	223	15790440	1448043	-	VNG1431C	COG0042J
putative deoxyhypusine synthase 	1064474	1065466	+	330	15790441	1448044	dhs	VNG1432G	COG1899O
30S ribosomal protein S17e 	1065552	1065731	+	59	15790442	1448045	rps17E	VNG1433G	COG1383J
aspartate-semialdehyde dehydrogenase 	1065778	1066809	+	343	15790443	1448046	asd	VNG1435G	COG0136E
hypothetical protein VNG1437G 	1067076	1067780	-	234	15790444	1448047	serA2	VNG1437G	COG0111HE
hypothetical protein VNG1438H 	1068124	1068375	+	83	15790445	1448048	-	VNG1438H	-
hypothetical protein VNG1440H 	1068714	1069064	-	116	15790446	1448049	-	VNG1440H	-
Htr12 	1069113	1070375	-	420	15790447	1448050	htr12	VNG1442G	COG0840NT
histidinol dehydrogenase 	1070493	1071770	+	425	15790448	1448051	hisD	VNG1444G	COG0141E
hypothetical protein VNG1446H 	1071909	1072142	-	77	15790449	1448052	-	VNG1446H	COG3360S
hypothetical protein VNG1447H 	1072166	1073080	-	304	15790450	1448053	-	VNG1447H	-
hypothetical protein VNG1448H 	1073153	1073392	-	79	15790451	1448054	-	VNG1448H	-
2',3'-cyclic-nucleotide 2'-phosphodiesterase 	1073658	1074833	+	391	15790452	1448055	yfkN	VNG1450G	COG0737F
hypothetical protein VNG1451C 	1074878	1075960	+	360	15790453	1448056	-	VNG1451C	COG1378K
Eif2bd 	1075969	1076835	-	288	15790454	1448057	eif2bd	VNG1452G	COG1184J
hypothetical protein VNG1453H 	1076841	1077320	+	159	15790455	1448058	-	VNG1453H	-
hypothetical protein VNG1454C 	1077321	1078823	-	500	15790456	1448059	-	VNG1454C	COG1690S
hypothetical protein VNG1455H 	1078862	1079908	-	348	15790457	1448060	-	VNG1455H	-
hypothetical protein VNG1456H 	1079946	1080326	-	126	15790458	1448061	-	VNG1456H	COG1371S
hypothetical protein VNG1457C 	1080325	1081038	+	237	15790459	1448062	-	VNG1457C	COG0456R
CrtB1 	1081040	1082008	-	322	15790460	1448063	crtB1	VNG1458G	COG1562I
hypothetical protein VNG1459H 	1082119	1082265	-	48	15790461	1448064	-	VNG1459H	-
hypothetical protein VNG1461H 	1082555	1082767	-	70	15790462	1448065	-	VNG1461H	-
Cdc48a 	1082767	1084842	-	691	15790463	1448066	cdc48a	VNG1462G	COG0464O
bacterio-opsin linked protein 	1085033	1085461	+	142	15790464	1448067	blp	VNG1463G	-
bacterio-opsin activator 	1085495	1087519	-	674	15790465	1448068	bat	VNG1464G	COG3413R
Brp 	1087516	1088622	-	368	15790466	1448069	brp	VNG1465G	-
hypothetical protein VNG1466H 	1088744	1088878	+	44	15790467	1448070	-	VNG1466H	-
bacterio-opsin 	1089122	1089910	+	262	15790468	1448071	bop	VNG1467G	COG5524R
hypothetical protein VNG1468H 	1089962	1090231	+	89	15790469	1448072	-	VNG1468H	-
DNA primase small subunit 	1090362	1091636	+	424	15790470	1448073	pri	VNG1470G	COG1467L
hypothetical protein VNG1471C 	1091633	1092457	+	274	15790471	1448074	-	VNG1471C	COG1711S
Cdc48b 	1092551	1094830	-	759	15790472	1448075	cdc48b	VNG1472G	COG0464O
hypothetical protein VNG1473H 	1094827	1095075	-	82	15790473	1448076	-	VNG1473H	-
Est 	1095190	1096014	+	274	15790474	1448077	est	VNG1474G	COG0596R
hypothetical protein VNG1475C 	1096286	1097941	+	551	15790475	1448078	-	VNG1475C	COG1361M
hypothetical protein VNG1476C 	1097962	1100202	+	746	15790476	1448079	-	VNG1476C	COG1033R
hypothetical protein VNG1478G 	1100204	1101028	-	274	15790477	1448080	panB	VNG1478G	COG0413H
hypothetical protein VNG1479H 	1101172	1101351	+	59	15790478	1448081	-	VNG1479H	-
hypothetical protein VNG1480C 	1101355	1101738	-	127	15790479	1448082	-	VNG1480C	COG0546R
Sat 	1102027	1102542	+	171	15790480	1448083	sat	VNG1481G	COG1045E
Acd5 	1102552	1103676	-	374	15790481	1448084	acd5	VNG1482G	COG1960I
hypothetical protein VNG1483C 	1103741	1104244	-	167	15790482	1448085	-	VNG1483C	COG1813K
hypothetical protein VNG1484H 	1104331	1105599	+	422	15790483	1448086	-	VNG1484H	-
hypothetical protein VNG1486H 	1105679	1105840	+	53	15790484	1448087	-	VNG1486H	-
hypothetical protein VNG1487H 	1105936	1106394	+	152	15790485	1448088	-	VNG1487H	COG3467R
Boa2 	1106448	1107095	+	215	15790486	1448089	boa2	VNG1488G	COG3413R
hypothetical protein VNG1490H 	1107155	1107559	+	134	15790487	1448090	-	VNG1490H	COG1522K
hypothetical protein VNG1492C 	1107931	1108500	+	189	15790488	1448092	-	VNG1492C	COG2322S
hypothetical protein VNG1493G 	1108559	1110031	-	490	15790489	1448093	purF	VNG1493G	COG0034F
50S ribosomal protein L37e 	1110237	1110413	-	58	15790490	1448094	rpl37e	VNG1494G	COG2126J
Snp 	1110410	1110619	-	69	15790491	1448095	snp	VNG1496G	COG1958K
CelM 	1110649	1111710	-	353	15790492	1448096	celM	VNG1498G	COG1363G
hypothetical protein VNG1497C 	1112065	1113018	+	317	15790493	1448097	-	VNG1497C	COG5282S
hypothetical protein VNG1500H 	1113019	1113681	-	220	15790494	1448098	-	VNG1500H	-
DNA helicase 	1113845	1116310	+	821	15790495	1448099	hel	VNG1501G	COG1112L
hypothetical protein VNG1503C 	1116360	1117103	+	247	15790496	1448100	-	VNG1503C	COG1234R
Htr10 	1117100	1118569	-	489	15790497	1448101	htr10	VNG1505G	COG0840NT
PelA 	1118630	1119703	-	357	15790498	1448102	pelA	VNG1506G	COG1537R
hypothetical protein VNG1508C 	1119763	1121874	-	703	15790499	1448103	-	VNG1508C	COG1293K
hypothetical protein VNG1510C 	1121952	1123601	-	549	15790500	1448104	-	VNG1510C	COG1243KB
hypothetical protein VNG1511C 	1123649	1125703	-	684	15790501	1448105	-	VNG1511C	COG1107L
hypothetical protein VNG1513H 	1125749	1125985	-	78	15790502	1448106	-	VNG1513H	-
hypothetical protein VNG1514H 	1126036	1126644	-	202	15790503	1448107	-	VNG1514H	COG2881S
hypothetical protein VNG1515G 	1126648	1127235	-	195	15790504	1448108	tdk	VNG1515G	COG1435F
hypothetical protein VNG1518H 	1127342	1127782	+	146	15790505	1448109	-	VNG1518H	COG0589T
hypothetical protein VNG1519H 	1127799	1128008	-	69	15790506	1448110	-	VNG1519H	-
A/G specific adenine glycosylase, repair protein 	1128085	1129023	-	312	15790507	1448111	mutY	VNG1520G	COG1194L
Htr8 	1129509	1131440	+	643	15790508	1448112	htr8	VNG1523G	COG0840NT
hypothetical protein VNG1524C 	1131444	1132820	-	458	15790509	1448113	-	VNG1524C	COG0160E
hypothetical protein VNG1525C 	1132953	1134599	-	548	15790510	1448114	-	VNG1525C	COG3174S
Trp6 	1134520	1135863	+	447	15790511	1448115	trp6	VNG1526G	COG0733R
Nac 	1136003	1137436	+	477	15790512	1448116	nac	VNG1528G	COG0733R
MmdA 	1137505	1139055	+	516	15790513	1448117	mmdA	VNG1529G	COG4799I
hypothetical protein VNG1530H 	1139055	1139312	+	85	15790514	1448118	-	VNG1530H	-
carbamoyl phosphate synthase subunit L 	1139423	1141255	+	610	15790515	1448119	acc	VNG1532G	COG4770I
hypothetical protein VNG1533H 	1141390	1143534	+	714	15790516	1448120	-	VNG1533H	-
hypothetical protein VNG1534H 	1143583	1143726	-	47	15790517	1448121	-	VNG1534H	-
biotin operon repressor and biotin-(acetyl-CoA carboxylase) ligase 	1143881	1144840	+	319	16554497	1449049	birA	VNG1534a	COG0340H
hypothetical protein VNG1536C 	1144847	1145290	-	147	15790518	1448122	-	VNG1536C	COG0589T
hypothetical protein VNG1537C 	1145342	1146571	-	409	15790519	1448123	-	VNG1537C	COG1078R
hypothetical protein VNG1538H 	1146674	1147519	+	281	15790520	1448124	-	VNG1538H	-
YwfD 	1147554	1148264	-	236	15790521	1448125	ywfD	VNG1540G	COG1028IQR
hypothetical protein VNG1541G 	1148259	1149530	+	423	15790522	1448126	sucC	VNG1541G	COG0045C
